Lot ID,Warehouse,Model,Item #,Item Description,Qty,Unit Retail,Unit Weight,Condition,Category,Seller Category
SD5333D,ABERDEEN,FRFN2813AF,4A50506204,Freestanding Multidoor 3 Door ST DPTH,1,1887.00,365,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Refrigerator
SD5333D,ABERDEEN,FRFS2823AS,4A44519102,Freestanding Multidoor 3 Door ST DPTH,1,2699.00,365,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Refrigerator
SD5333D,ABERDEEN,FRSC2333AS,4A50600075,Freestanding Side by Side CD,1,1599.00,325,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Refrigerator
SD5333D,ABERDEEN,FRSC2333AS,4A50705466,Freestanding Side by Side CD,1,1599.00,325,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Refrigerator
SD5333D,ABERDEEN,FRSG2115AV,8A43711791,Freestanding Side by Side CD,1,1099.00,255,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Refrigerator
SD5333D,ABERDEEN,FRSS2323AS,4A44508421,Freestanding Side by Side ST DPTH,1,1399.00,270,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Refrigerator
SD5333D,ABERDEEN,FRSS2323AS,4A45100702,Freestanding Side by Side ST DPTH,1,1399.00,270,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Refrigerator
SD5333D,ABERDEEN,FRSS2623AB,4A44517302,Freestanding Side by Side ST DPTH,1,1399.00,293,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Refrigerator
SD5333D,ABERDEEN,FRSS2623AW,4A43702319,Freestanding Side by Side ST DPTH,1,1399.00,293,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Refrigerator
SD5333D,ABERDEEN,GCFG3060BF,VF50771979,FS Cooker FC Gas Cavity/Gas Hob,1,2099.00,222,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Range
SD5333D,ABERDEEN,GCWD3067AF,VF43710110,BI Dual Cavity Electric Oven,1,3599.00,280,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Built-In Oven
SD5333D,ABERDEEN,GCWD3067AF,VF50754299,BI Dual Cavity Electric Oven,1,3599.00,280,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Built-In Oven
SD5333D,ABERDEEN,GCWS3067AF,VF51503053,BI Electric Oven,1,2599.00,145,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Built-In Oven
SD5333D,ABERDEEN,GDPH4515AF,TH51606034,BI Fullsize Dish Washer - Plastic,1,599.00,62,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Dishwasher
SD5333D,ABERDEEN,GDPH4515AF,TH51606065,BI Fullsize Dish Washer - Plastic,1,599.00,62,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Dishwasher
SD5333D,ABERDEEN,GDSH4715AD,KH51020287,BI Fullsize Dish Washer - Stainless,1,899.00,91,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Dishwasher
SD5333D,ABERDEEN,GRFC2353AD,4A50420076,Freestanding Multidoor 3 Door CD,1,3399.00,347,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Refrigerator
SD5333D,ABERDEEN,GRMS2773AF,1K50772663,Freestanding Multidoor 4 Door ST DPTH,1,3199.00,359,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Refrigerator
